scene_name,scene_path,group,voxel_id,base_label,final_label,relabel_mode,relabel_score,junction_score,junction_neighbor_count,junction_cluster_count,junction_orientation_dispersion,junction_dominant_fraction,occupancy_asymmetry,normal_variation,opposite_face_pair_ratio,planar_context_penalty,corner_context_bonus,baseline_rank,hard_rank,scored_rank,original_voxel_pcd,original_neighborhood_pcd,source_manifest_csv,source_annotation_csv,voxel_preview_png,neighborhood_preview_png,overlay_preview_png,human_label,confidence,notes
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,scored_only_relabeled,0_-10_6,planar,junction_like_mixed,scored,0.662663,0.706379,29,3,0.500027,0.337669,0.666667,0.025788,0.000000,0.128599,1.168147,66,33,9,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/0_-10_6/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/0_-10_6/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/annotation_template.csv,scenes/full0/groups/scored_only_relabeled/voxels/0_-10_6/voxel_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/0_-10_6/neighborhood_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/0_-10_6/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,scored_only_relabeled,5_4_4,planar,junction_like_mixed,scored,0.667680,0.715152,22,4,0.433503,0.326993,0.032787,0.254202,0.333333,0.154290,0.645905,113,61,26,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/5_4_4/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/5_4_4/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/annotation_template.csv,scenes/full0/groups/scored_only_relabeled/voxels/5_4_4/voxel_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/5_4_4/neighborhood_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/5_4_4/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,scored_only_relabeled,-2_-8_4,planar,junction_like_mixed,scored,0.674154,0.788834,18,4,0.437986,0.299708,0.333333,0.139953,0.000000,0.043470,0.955603,,127,60,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/-2_-8_4/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/-2_-8_4/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/annotation_template.csv,scenes/full0/groups/scored_only_relabeled/voxels/-2_-8_4/voxel_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/-2_-8_4/neighborhood_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/-2_-8_4/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,scored_only_relabeled,6_7_-2,planar,junction_like_mixed,scored,0.746220,0.721488,20,3,0.579027,0.413212,0.416667,0.398008,0.333333,0.141350,1.262310,,181,88,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/6_7_-2/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/6_7_-2/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/annotation_template.csv,scenes/full0/groups/scored_only_relabeled/voxels/6_7_-2/voxel_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/6_7_-2/neighborhood_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/6_7_-2/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,scored_only_relabeled,1_-10_4,planar,junction_like_mixed,scored,0.686216,0.747766,25,3,0.449546,0.336673,0.482759,0.231372,0.333333,0.293264,1.110054,,,135,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/1_-10_4/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/voxels/1_-10_4/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/scored_only_relabeled/annotation_template.csv,scenes/full0/groups/scored_only_relabeled/voxels/1_-10_4/voxel_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/1_-10_4/neighborhood_preview.png,scenes/full0/groups/scored_only_relabeled/voxels/1_-10_4/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,hard_only_relabeled,6_12_0,planar,planar,hard_threshold,0.645560,0.725389,20,3,0.574238,0.298725,0.131559,0.419202,0.666667,0.242378,0.843972,,,,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/voxels/6_12_0/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/voxels/6_12_0/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/annotation_template.csv,scenes/full0/groups/hard_only_relabeled/voxels/6_12_0/voxel_preview.png,scenes/full0/groups/hard_only_relabeled/voxels/6_12_0/neighborhood_preview.png,scenes/full0/groups/hard_only_relabeled/voxels/6_12_0/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,hard_only_relabeled,6_12_1,planar,planar,hard_threshold,0.658406,0.720292,19,3,0.569890,0.308791,0.429224,0.151473,0.333333,0.233697,0.943301,,,,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/voxels/6_12_1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/voxels/6_12_1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/hard_only_relabeled/annotation_template.csv,scenes/full0/groups/hard_only_relabeled/voxels/6_12_1/voxel_preview.png,scenes/full0/groups/hard_only_relabeled/voxels/6_12_1/neighborhood_preview.png,scenes/full0/groups/hard_only_relabeled/voxels/6_12_1/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,6_5_-1,planar,junction_like_mixed,hard_threshold+scored,0.660233,0.733348,28,3,0.496105,0.320622,0.228360,0.249239,0.666667,0.255705,0.721002,71,12,12,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_5_-1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_5_-1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/6_5_-1/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_5_-1/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_5_-1/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,4_-13_4,planar,junction_like_mixed,hard_threshold+scored,0.685377,0.741997,13,3,0.637605,0.349450,0.021277,0.277049,0.333333,0.144558,0.664087,89,17,14,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/4_-13_4/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/4_-13_4/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/4_-13_4/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/4_-13_4/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/4_-13_4/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,5_-13_4,planar,junction_like_mixed,hard_threshold+scored,0.835836,0.751544,10,4,0.686536,0.363358,0.666667,0.249705,0.000000,0.079604,1.470435,98,19,15,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/5_-13_4/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/5_-13_4/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/5_-13_4/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/5_-13_4/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/5_-13_4/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,5_12_-1,planar,junction_like_mixed,hard_threshold+scored,0.761364,0.754878,19,3,0.569963,0.295627,1.000000,0.098492,0.000000,0.215108,1.632965,,,,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/5_12_-1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/5_12_-1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/5_12_-1/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/5_12_-1/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/5_12_-1/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,5_13_-1,planar,junction_like_mixed,hard_threshold+scored,0.752663,0.751610,25,3,0.526561,0.298240,1.000000,0.026089,0.000000,0.149067,1.535220,,,,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/5_13_-1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/5_13_-1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/5_13_-1/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/5_13_-1/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/5_13_-1/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,6_13_-1,planar,junction_like_mixed,hard_threshold+scored,0.838043,0.748126,21,3,0.528125,0.317904,1.000000,0.244278,0.000000,0.103886,1.829776,,,,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_13_-1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_13_-1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/6_13_-1/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_13_-1/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_13_-1/overlay_preview.png,,,
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,6_13_1,planar,junction_like_mixed,hard_threshold+scored,0.709529,0.762288,21,3,0.484212,0.278247,0.376812,0.260210,0.333333,0.237190,1.032442,,,,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_13_1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_13_1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/6_13_1/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_13_1/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_13_1/overlay_preview.png,,,
