scene_name,scene_path,group,voxel_id,base_label,final_label,relabel_mode,relabel_score,junction_score,junction_neighbor_count,junction_cluster_count,junction_orientation_dispersion,junction_dominant_fraction,occupancy_asymmetry,normal_variation,opposite_face_pair_ratio,planar_context_penalty,corner_context_bonus,baseline_rank,hard_rank,scored_rank,original_voxel_pcd,original_neighborhood_pcd,source_manifest_csv,source_annotation_csv,voxel_preview_png,neighborhood_preview_png,overlay_preview_png,human_label,confidence,notes
full0.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full0.pcd,shared_relabeled,6_5_-2,planar,junction_like_mixed,hard_threshold+scored,0.788565,0.733265,23,3,0.484789,0.353323,0.810298,0.380754,0.333333,0.256983,1.672012,,,,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_5_-2/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/voxels/6_5_-2/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full0/groups/shared_relabeled/annotation_template.csv,scenes/full0/groups/shared_relabeled/voxels/6_5_-2/voxel_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_5_-2/neighborhood_preview.png,scenes/full0/groups/shared_relabeled/voxels/6_5_-2/overlay_preview.png,,,
full95.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full95.pcd,scored_only_relabeled,-9_-6_2,planar,junction_like_mixed,scored,0.660276,0.390914,27,2,0.596368,0.251832,0.815873,0.375362,0.333333,0.161457,1.670866,9,7,1,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-9_-6_2/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-9_-6_2/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/annotation_template.csv,scenes/full95/groups/scored_only_relabeled/voxels/-9_-6_2/voxel_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-9_-6_2/neighborhood_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-9_-6_2/overlay_preview.png,,,
full95.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full95.pcd,scored_only_relabeled,-8_0_5,planar,junction_like_mixed,scored,0.702154,0.654626,28,3,0.595554,0.419436,1.000000,0.088217,0.000000,0.134554,1.619093,,,,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-8_0_5/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-8_0_5/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/annotation_template.csv,scenes/full95/groups/scored_only_relabeled/voxels/-8_0_5/voxel_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-8_0_5/neighborhood_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-8_0_5/overlay_preview.png,,,
full95.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full95.pcd,scored_only_relabeled,-8_3_0,planar,junction_like_mixed,scored,0.767823,0.640525,35,3,0.650758,0.464891,0.722667,0.375373,0.333333,0.239020,1.568353,,,,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-8_3_0/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-8_3_0/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/annotation_template.csv,scenes/full95/groups/scored_only_relabeled/voxels/-8_3_0/voxel_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-8_3_0/neighborhood_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-8_3_0/overlay_preview.png,,,
full95.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full95.pcd,scored_only_relabeled,-8_4_0,planar,junction_like_mixed,scored,0.798529,0.672952,30,3,0.635128,0.442232,1.000000,0.307269,0.000000,0.134861,1.914813,,,,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-8_4_0/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/voxels/-8_4_0/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full95/groups/scored_only_relabeled/annotation_template.csv,scenes/full95/groups/scored_only_relabeled/voxels/-8_4_0/voxel_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-8_4_0/neighborhood_preview.png,scenes/full95/groups/scored_only_relabeled/voxels/-8_4_0/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,scored_only_relabeled,6_2_2,planar,junction_like_mixed,scored,0.787723,0.694646,34,3,0.444204,0.391455,1.000000,0.487507,0.000000,0.074281,2.158134,8,3,1,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/6_2_2/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/6_2_2/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/annotation_template.csv,scenes/full153/groups/scored_only_relabeled/voxels/6_2_2/voxel_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/6_2_2/neighborhood_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/6_2_2/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,scored_only_relabeled,1_6_4,planar,junction_like_mixed,scored,0.763856,0.740347,27,3,0.423353,0.277831,0.549020,0.402868,0.333333,0.152428,1.414460,25,18,4,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/1_6_4/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/1_6_4/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/annotation_template.csv,scenes/full153/groups/scored_only_relabeled/voxels/1_6_4/voxel_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/1_6_4/neighborhood_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/1_6_4/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,scored_only_relabeled,-1_9_-1,planar,junction_like_mixed,scored,0.871988,0.708932,33,3,0.601274,0.343462,0.914286,0.484331,0.333333,0.128054,1.926227,31,20,6,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/-1_9_-1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/-1_9_-1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/annotation_template.csv,scenes/full153/groups/scored_only_relabeled/voxels/-1_9_-1/voxel_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/-1_9_-1/neighborhood_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/-1_9_-1/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,scored_only_relabeled,-1_8_-2,planar,junction_like_mixed,scored,0.759804,0.666374,31,3,0.619511,0.390550,0.859155,0.255113,0.333333,0.304367,1.556139,,,,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/-1_8_-2/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/-1_8_-2/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/annotation_template.csv,scenes/full153/groups/scored_only_relabeled/voxels/-1_8_-2/voxel_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/-1_8_-2/neighborhood_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/-1_8_-2/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,scored_only_relabeled,2_5_6,planar,junction_like_mixed,scored,0.726786,0.674299,19,3,0.447420,0.390487,0.666667,0.410460,0.000000,0.059310,1.687454,,,,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/2_5_6/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/2_5_6/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/annotation_template.csv,scenes/full153/groups/scored_only_relabeled/voxels/2_5_6/voxel_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/2_5_6/neighborhood_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/2_5_6/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,scored_only_relabeled,2_6_4,planar,junction_like_mixed,scored,0.664346,0.620815,37,3,0.391489,0.366979,1.000000,0.469962,0.000000,0.074168,2.134448,,,,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/2_6_4/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/2_6_4/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/annotation_template.csv,scenes/full153/groups/scored_only_relabeled/voxels/2_6_4/voxel_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/2_6_4/neighborhood_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/2_6_4/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,scored_only_relabeled,7_1_2,planar,junction_like_mixed,scored,0.734570,0.679875,27,3,0.421857,0.337284,0.666667,0.447666,0.000000,0.066938,1.737683,,,,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/7_1_2/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/voxels/7_1_2/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/scored_only_relabeled/annotation_template.csv,scenes/full153/groups/scored_only_relabeled/voxels/7_1_2/voxel_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/7_1_2/neighborhood_preview.png,scenes/full153/groups/scored_only_relabeled/voxels/7_1_2/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,shared_relabeled,-3_9_-1,planar,junction_like_mixed,hard_threshold+scored,0.960771,0.764312,24,3,0.620462,0.280497,0.666667,0.443198,0.000000,0.052844,1.731650,34,5,5,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/voxels/-3_9_-1/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/voxels/-3_9_-1/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/annotation_template.csv,scenes/full153/groups/shared_relabeled/voxels/-3_9_-1/voxel_preview.png,scenes/full153/groups/shared_relabeled/voxels/-3_9_-1/neighborhood_preview.png,scenes/full153/groups/shared_relabeled/voxels/-3_9_-1/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,shared_relabeled,-6_-1_5,planar,junction_like_mixed,hard_threshold+scored,0.845846,0.794134,14,4,0.499198,0.276191,0.400000,0.682990,0.333333,0.062489,1.628703,93,24,20,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/voxels/-6_-1_5/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/voxels/-6_-1_5/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/annotation_template.csv,scenes/full153/groups/shared_relabeled/voxels/-6_-1_5/voxel_preview.png,scenes/full153/groups/shared_relabeled/voxels/-6_-1_5/neighborhood_preview.png,scenes/full153/groups/shared_relabeled/voxels/-6_-1_5/overlay_preview.png,,,
full153.pcd,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/prev/BALM/datas/benchmark_realworld/full153.pcd,shared_relabeled,-3_9_0,planar,junction_like_mixed,hard_threshold+scored,0.839793,0.762916,29,3,0.618747,0.278003,0.354839,0.259116,0.333333,0.226653,1.006796,,,189,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/voxels/-3_9_0/voxel.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/voxels/-3_9_0/neighborhood_radius2.pcd,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/manifest.csv,results/context_refinement_scored_multiscene_review/scenes/full153/groups/shared_relabeled/annotation_template.csv,scenes/full153/groups/shared_relabeled/voxels/-3_9_0/voxel_preview.png,scenes/full153/groups/shared_relabeled/voxels/-3_9_0/neighborhood_preview.png,scenes/full153/groups/shared_relabeled/voxels/-3_9_0/overlay_preview.png,,,
