rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,total_score
0,6,-2,1,corner_like,275,2.879421,0.449804,3.329225
1,6,13,0,volumetric,36,2.835336,0.431301,3.266637
2,6,2,2,corner_like,161,2.762012,0.285901,3.047913
3,4,-3,-1,volumetric,193,2.785246,0.248590,3.033836
4,6,-3,1,corner_like,276,2.803596,0.220789,3.024386
5,6,1,2,corner_like,206,2.683688,0.257569,2.941258
6,-8,-6,8,planar,49,2.506183,0.382029,2.888212
7,-7,-7,8,planar,62,2.491674,0.371225,2.862898
8,-8,-7,8,planar,34,2.552528,0.283074,2.835602
9,6,7,0,planar,83,2.567656,0.197130,2.764786
10,6,3,2,corner_like,154,2.653074,0.105646,2.758721
11,6,3,3,planar,94,2.233836,0.487445,2.721281
12,4,-1,-1,corner_like,310,2.601651,0.118721,2.720372
13,-2,-11,8,planar,36,2.186065,0.529402,2.715466
14,-1,-11,8,planar,31,2.297167,0.412307,2.709474
15,6,14,1,corner_like,26,2.641705,0.067336,2.709041
16,-10,-5,8,planar,44,2.019771,0.647327,2.667098
17,6,12,-1,corner_like,35,2.575320,0.086582,2.661903
18,6,4,1,planar,212,2.534593,0.044454,2.579047
19,-5,11,3,planar,49,2.437178,0.080251,2.517428
20,4,-2,-1,volumetric,168,2.395232,0.082679,2.477911
21,6,1,3,planar,187,2.384408,0.092131,2.476539
22,-8,-5,8,planar,57,2.277379,0.178151,2.455530
23,2,6,-2,planar,64,1.947717,0.505677,2.453394
24,0,-5,-2,planar,220,1.883999,0.556186,2.440184
25,1,1,-2,planar,1429,1.937996,0.495286,2.433282
26,6,-3,0,corner_like,288,2.441887,-0.029347,2.412540
27,2,7,-2,linear,44,1.891897,0.481936,2.373833
28,-8,-8,8,planar,24,2.467679,-0.094435,2.373244
29,6,-4,2,corner_like,123,2.416321,-0.075961,2.340360
30,6,2,-1,corner_like,272,2.439848,-0.146085,2.293763
31,6,2,3,planar,170,2.076148,0.213109,2.289257
32,-9,-6,8,planar,35,2.067452,0.214729,2.282181
33,-6,11,3,linear,33,2.090394,0.186846,2.277240
34,-9,-3,8,planar,56,2.161980,0.112278,2.274258
35,6,4,-1,corner_like,204,2.253878,0.014369,2.268247
36,6,0,3,planar,224,2.002238,0.244347,2.246585
37,6,0,2,corner_like,147,2.253954,-0.010041,2.243914
38,-6,-7,8,planar,67,1.980189,0.263684,2.243874
39,-5,-8,8,planar,63,2.378941,-0.135618,2.243322
40,-10,-7,8,planar,30,2.382606,-0.158086,2.224520
41,6,3,-1,corner_like,213,2.185997,0.031398,2.217395
42,6,2,0,planar,243,2.191695,-0.025457,2.166238
43,1,2,-2,planar,667,1.801356,0.356433,2.157789
44,6,-2,2,volumetric,201,2.289798,-0.137154,2.152644
45,-7,-8,8,planar,47,2.347275,-0.219207,2.128068
46,0,-6,-2,planar,114,1.737275,0.367775,2.105049
47,6,6,2,corner_like,60,2.121384,-0.048384,2.073000
48,0,-7,-2,linear,54,1.918047,0.147012,2.065059
49,-7,11,3,linear,24,1.890515,0.165303,2.055819
50,-6,-8,8,planar,59,2.198510,-0.146897,2.051613
51,6,-2,0,corner_like,160,2.104318,-0.091040,2.013277
52,6,4,2,corner_like,149,2.083900,-0.085437,1.998463
53,6,-1,3,planar,229,1.811054,0.178633,1.989687
54,0,-4,-2,planar,411,1.695486,0.292232,1.987719
55,2,5,-2,planar,85,1.680668,0.304718,1.985386
56,6,-2,3,corner_like,197,1.951188,0.001941,1.953129
57,6,-1,2,corner_like,141,2.038183,-0.098028,1.940155
58,6,6,0,planar,90,2.084648,-0.148711,1.935936
59,6,-3,2,corner_like,169,2.290833,-0.364737,1.926096
60,-9,-5,8,planar,55,1.716467,0.193428,1.909895
61,6,5,2,volumetric,58,2.172327,-0.292339,1.879988
62,6,1,0,planar,291,1.884528,-0.118819,1.765709
63,0,-3,-2,planar,923,1.573645,0.186641,1.760286
64,1,-1,-2,corner_like,1646,1.960966,-0.256891,1.704074
65,-4,11,7,planar,27,1.770169,-0.070138,1.700031
66,1,-2,-2,planar,1447,1.490530,0.186022,1.676552
67,1,0,-2,planar,1343,2.107231,-0.461737,1.645494
68,-9,-8,8,planar,30,1.806275,-0.167411,1.638864
69,1,3,-2,planar,331,1.485330,0.115086,1.600416
70,2,4,-2,planar,147,1.348799,0.215018,1.563817
71,-5,-11,8,planar,25,1.629629,-0.255796,1.373833
72,3,15,3,linear,33,2.002997,-0.635438,1.367559
73,-9,-7,8,planar,38,1.318623,-0.056317,1.262306
74,-7,-6,8,planar,68,1.276408,-0.022085,1.254323
75,-10,-6,8,planar,37,1.358003,-0.104252,1.253751
76,6,-1,1,planar,153,1.625116,-0.371740,1.253376
77,6,8,2,corner_like,38,1.648937,-0.543662,1.105276
78,-3,11,3,planar,64,1.307673,-0.228999,1.078674
79,1,-3,-2,planar,676,1.059323,-0.016233,1.043090
80,-12,4,8,planar,24,1.235079,-0.198592,1.036487
81,2,3,-2,planar,245,0.945606,0.044686,0.990292
82,-4,11,3,planar,45,1.317601,-0.335662,0.981939
83,6,1,1,planar,266,1.120655,-0.171093,0.949562
84,0,-10,6,planar,38,1.107023,-0.242611,0.864412
85,1,4,-2,planar,187,0.883217,-0.034434,0.848784
86,6,5,-1,planar,110,1.287938,-0.489977,0.797961
87,-13,-7,8,planar,21,1.206538,-0.411631,0.794907
88,6,7,2,volumetric,35,1.004453,-0.211460,0.792992
89,6,3,0,planar,202,1.314311,-0.526254,0.788057
90,-1,-9,-2,linear,36,0.817730,-0.032650,0.785080
91,1,-4,-2,planar,342,0.783094,-0.022981,0.760112
92,6,-3,3,planar,150,1.025098,-0.315622,0.709476
93,1,-8,4,corner_like,121,0.628149,0.019798,0.647947
94,6,4,3,planar,109,0.700840,-0.229609,0.471231
95,6,-5,2,planar,93,0.778354,-0.318548,0.459806
96,6,-4,3,planar,74,0.680687,-0.263036,0.417651
97,6,-2,-1,corner_like,68,0.446755,-0.059208,0.387547
98,-4,-8,8,linear,47,0.529016,-0.148808,0.380208
99,-9,4,8,planar,62,0.390081,-0.016907,0.373174
100,1,-5,-2,planar,171,0.486534,-0.127752,0.358782
101,6,5,0,corner_like,115,0.739882,-0.420148,0.319734
102,-3,-11,8,linear,23,0.815285,-0.516059,0.299226
103,6,-7,2,corner_like,57,-0.202495,0.494607,0.292111
104,1,5,-2,planar,113,0.355003,-0.066214,0.288789
105,-11,-6,8,planar,22,0.219949,0.068822,0.288771
106,-9,3,8,planar,61,0.270454,-0.056739,0.213715
107,1,-6,-2,planar,104,0.334724,-0.220089,0.114636
108,-4,-11,8,planar,46,0.104736,-0.001692,0.103043
109,6,10,1,planar,36,-0.088589,0.180691,0.092102
110,-10,3,8,planar,32,-0.313590,0.405041,0.091451
111,6,11,-1,planar,47,0.055556,0.033332,0.088888
112,6,-9,1,corner_like,50,0.300576,-0.228061,0.072515
113,6,-5,3,planar,72,0.149357,-0.077970,0.071388
114,2,2,-2,planar,411,0.268330,-0.273859,-0.005528
115,3,-8,4,planar,46,0.126091,-0.159352,-0.033261
116,-4,18,2,planar,22,-0.018581,-0.021890,-0.040471
117,6,6,-1,planar,112,0.190616,-0.257128,-0.066512
118,6,4,0,planar,177,0.119373,-0.259420,-0.140047
119,6,-3,-1,corner_like,184,-0.027718,-0.172866,-0.200583
120,-6,7,8,planar,35,-0.008493,-0.200234,-0.208728
121,-10,7,8,planar,24,-0.148873,-0.081389,-0.230262
122,0,-2,-2,planar,1051,-0.129333,-0.103706,-0.233038
123,12,-1,-1,linear,24,-0.757915,0.490076,-0.267839
124,6,-10,2,planar,28,-0.329778,0.052516,-0.277262
125,-8,4,8,planar,55,-0.640073,0.354570,-0.285503
126,6,-5,-1,planar,137,-0.545863,0.147676,-0.398188
127,-1,-8,-2,linear,43,-0.158711,-0.308859,-0.467570
128,6,-6,1,planar,124,-0.489063,0.005451,-0.483612
129,1,6,-2,planar,63,-0.266133,-0.287654,-0.553787
130,-1,-7,-2,planar,98,-0.450862,-0.118441,-0.569303
131,-7,-11,8,planar,22,-0.820419,0.167604,-0.652815
132,2,1,-2,planar,686,-0.532644,-0.185696,-0.718340
133,-10,4,8,planar,41,-1.035190,0.281571,-0.753619
134,-9,2,8,planar,61,-1.094661,0.167032,-0.927629
135,6,0,0,planar,195,-1.155408,0.217372,-0.938037
136,6,-9,2,planar,29,-1.420914,0.448743,-0.972172
137,6,8,1,planar,65,-0.935816,-0.059195,-0.995011
138,6,-7,1,planar,107,-1.013854,-0.002579,-1.016432
139,-6,-11,8,planar,25,-1.336654,0.287892,-1.048761
140,1,8,-2,linear,38,-0.999477,-0.097677,-1.097154
141,6,-11,2,planar,24,-1.786858,0.673660,-1.113199
142,0,-9,-2,linear,40,-2.964928,1.845727,-1.119201
143,-10,-4,8,linear,21,-1.386594,0.256906,-1.129688
144,5,4,4,planar,49,-1.360596,0.209183,-1.151413
145,-1,-5,-2,planar,153,-1.057839,-0.106425,-1.164264
146,-8,-10,6,planar,27,-1.621109,0.350530,-1.270579
147,2,-5,4,planar,120,-1.517398,0.231722,-1.285676
148,2,0,-2,planar,734,-1.389359,0.102744,-1.286616
149,1,-7,-2,planar,84,-1.256026,-0.035623,-1.291648
150,-5,18,1,planar,23,-1.353793,0.032705,-1.321088
151,-1,-6,-2,planar,118,-1.633323,0.304703,-1.328621
152,-2,18,-1,planar,35,-1.408366,0.042487,-1.365879
153,-1,-8,5,linear,25,-1.971618,0.603657,-1.367961
154,3,-5,4,corner_like,96,-1.381671,0.003431,-1.378240
155,-2,-9,-2,linear,32,-1.600179,0.207866,-1.392313
156,3,-7,4,planar,49,-1.179804,-0.219067,-1.398871
157,5,-2,4,linear,37,-1.860668,0.267433,-1.593234
158,6,-8,2,planar,46,-2.469894,0.774580,-1.695314
159,0,2,-2,planar,917,-1.767611,0.050855,-1.716757
160,0,-10,7,planar,63,-2.371195,0.566576,-1.804619
161,-9,-4,8,linear,30,-1.946764,0.134445,-1.812319
162,-7,-10,6,linear,39,-2.498895,0.670065,-1.828830
163,3,6,-2,planar,50,-2.009707,0.157439,-1.852268
164,3,-6,4,planar,48,-1.889902,0.004107,-1.885795
165,3,-3,4,planar,161,-2.488948,0.577432,-1.911515
166,-10,2,8,planar,25,-3.329818,1.330794,-1.999024
167,-1,-4,-2,planar,448,-2.023076,0.003076,-2.020001
168,-9,1,8,planar,61,-2.740360,0.701285,-2.039075
169,0,-8,4,planar,162,-2.388852,0.348063,-2.040790
170,12,-3,0,planar,45,-2.842669,0.772197,-2.070472
171,0,1,-2,planar,1065,-2.422239,0.334189,-2.088049
172,6,7,-1,planar,86,-2.487106,0.319315,-2.167791
173,2,-8,4,planar,72,-2.719231,0.549366,-2.169865
174,6,8,0,planar,52,-2.730436,0.501329,-2.229107
175,6,-8,1,planar,88,-2.401728,0.157537,-2.244191
176,-1,18,2,planar,35,-2.729000,0.475653,-2.253347
177,-2,18,0,planar,35,-2.391388,0.121542,-2.269846
178,6,-6,2,corner_like,57,-2.873240,0.581170,-2.292069
179,3,-4,4,planar,137,-2.806216,0.471209,-2.335007
180,1,-8,-2,planar,42,-2.892727,0.397570,-2.495157
181,5,-13,4,planar,22,-3.474898,0.870702,-2.604196
182,1,10,8,planar,29,-2.996110,0.274551,-2.721559
183,0,-11,8,linear,24,-4.952595,2.228650,-2.723945
184,3,5,-2,planar,73,-2.988021,0.242796,-2.745225
185,-1,-3,-2,planar,896,-3.044424,0.287109,-2.757315
186,-7,9,8,planar,26,-3.482997,0.687433,-2.795565
187,2,-2,-2,planar,694,-3.110313,0.292093,-2.818220
188,0,3,-2,planar,389,-3.065926,0.246707,-2.819220
189,-3,18,2,planar,24,-3.372276,0.518389,-2.853887
190,-1,18,3,planar,45,-3.697551,0.758220,-2.939331
191,6,11,2,planar,29,-3.047608,0.090813,-2.956795
192,3,2,4,planar,171,-3.978095,0.882491,-3.095604
193,6,11,0,planar,46,-3.711368,0.579172,-3.132197
194,-2,11,3,planar,67,-4.068990,0.895582,-3.173408
195,0,18,2,planar,36,-3.934007,0.727297,-3.206710
196,6,1,-1,planar,280,-3.321048,0.088115,-3.232933
197,0,18,3,planar,39,-4.033094,0.699735,-3.333359
198,4,4,4,planar,67,-4.208298,0.753820,-3.454478
199,12,-2,-1,linear,21,-5.062323,1.546172,-3.516151
